ID,Data,Sexo,Idade,Horário,CAUSA DA MORTE,Local,Latitude,Longitude,Município,Classificação
69,29/01/2017,masculino,30,05:35:00,ARMA BRANCA,Tijupá Queimado,"-2,556905","-44,174759",São José de Ribamar,HOMICÍDIO DOLOSO
70,30/01/2017,masculino,28,15:00:00,ARMA DE FOGO,Ipase de Baixo,"-2,536133","-44,258423",São Luís,LESÃO CORPORAL SEGUIDA DE MORTE
71,30/01/2017,masculino,30,01:45:00,ARMA DE FOGO,Parque Shalon,"-2,492756","-44,241976",São Luís,HOMICÍDIO DOLOSO
72,30/01/2017,masculino,53,07:00:00,ARMA BRANCA,Vila Alcione Ferreira,"-2,553572","-44,073672",São José de Ribamar,HOMICÍDIO DOLOSO
73,30/01/2017,masculino,45,10:55:00,ARMA DE FOGO,Vila São Luís – Bacanga,"-2,547884","-44,332948",São Luís,HOMICÍDIO DOLOSO
74,31/01/2017,masculino,17,00:20:00,ARMA DE FOGO,Anil,"-2,548481","-44,238682",São Luís,HOMICÍDIO DOLOSO
75,31/01/2017,masculino,33,19:56:00,ARMA DE FOGO,Centro-SLZ,"-2,530153","-44,299664",São Luís,HOMICÍDIO DOLOSO
76,31/01/2017,masculino,29,-,ARMA BRANCA,Matinha,"-2,578899","-44,15607",São José de Ribamar,HOMICÍDIO DOLOSO
77,31/01/2017,masculino,36,20:02:00,ARMA DE FOGO,Novo Paço,"-2,54653","-44,153795",Paço do Lumiar,HOMICÍDIO DOLOSO
78,31/01/2017,masculino,18,12:33:00,ARMA DE FOGO,Vila Kiola I,"-2,554547","-44,183836",São José de Ribamar,HOMICÍDIO DOLOSO
79,01/02/2017,masculino,52,-,ARMA BRANCA,Andiroba,"-2,629915","-44,188449",São Luís,HOMICÍDIO DOLOSO
80,01/02/2017,feminino,48,20:02:00,ARMA DE FOGO,Pedrinhas,"-2,688089","-44,302711",São Luís,MORTE A ESCLARECER
81,01/02/2017,masculino,34,21:13:00,ARMA DE FOGO,Piancó,"-2,567559","-44,302883",São Luís,HOMICÍDIO DOLOSO
82,02/02/2017,masculino,49,14:10:00,ARMA BRANCA,Conjunto Lima Verde,"-2,547999","-44,187806",Paço do Lumiar,LATROCÍNIO
83,02/02/2017,masculino,24,20:07:00,ARMA DE FOGO,Farol do Araçagy,"-2,457416","-44,147251",Raposa,MORTE DECORRENTE DE INTERVENÇÃO POLICIAL
84,02/02/2017,masculino,14,15:02:00,ARMA DE FOGO,Mata,"-2,588888","-44,164567",São José de Ribamar,HOMICÍDIO DOLOSO
85,02/02/2017,feminino,51,20:07:00,ARMA DE FOGO,Residencial Vista do Mar,"-2,447147","-44,145126",Raposa,LATROCÍNIO
86,03/02/2017,feminino,17,22:00:00,ARMA DE FOGO,Centro-SLZ,"-2,530153","-44,299664",São Luís,HOMICÍDIO DOLOSO
87,03/02/2017,masculino,55,15:22:00,ARMA DE FOGO,Centro-PCL,"-2,532393","-44,107972",Paço do Lumiar,LATROCÍNIO
